datas,labels
"[[[ 31  29  28]
  [ 29  26  24]
  [ 31  29  27]
  ...
  [114 132 154]
  [109 125 145]
  [101 115 134]]

 [[ 32  31  30]
  [ 28  25  25]
  [ 31  29  31]
  ...
  [124 143 173]
  [119 136 162]
  [110 126 150]]

 [[ 33  32  34]
  [ 27  25  28]
  [ 30  28  33]
  ...
  [131 152 187]
  [125 145 178]
  [117 135 164]]

 ...

 [[ 67  61  56]
  [ 69  62  57]
  [ 71  64  60]
  ...
  [ 47  52  72]
  [ 34  37  52]
  [ 25  26  36]]

 [[ 64  59  55]
  [ 66  61  57]
  [ 69  63  60]
  ...
  [ 41  48  68]
  [ 38  43  59]
  [ 34  36  47]]

 [[ 67  62  59]
  [ 67  62  59]
  [ 69  64  61]
  ...
  [ 35  42  63]
  [ 42  48  64]
  [ 42  45  57]]]",[0. 1. 0.]
"[[[104 110 109]
  [ 46  51  49]
  [ 35  36  31]
  ...
  [ 47  44  44]
  [ 53  49  48]
  [ 58  54  53]]

 [[106 112 111]
  [ 49  54  52]
  [ 38  39  34]
  ...
  [ 45  43  43]
  [ 52  47  48]
  [ 58  54  53]]

 [[108 114 113]
  [ 48  53  52]
  [ 38  38  34]
  ...
  [ 45  43  44]
  [ 52  49  49]
  [ 59  54  54]]

 ...

 [[112 110 108]
  [111 111 110]
  [ 79  81  81]
  ...
  [ 41  42  42]
  [ 42  41  39]
  [ 42  40  37]]

 [[113 109 108]
  [113 110 110]
  [ 79  81  82]
  ...
  [ 42  42  42]
  [ 41  39  38]
  [ 36  34  33]]

 [[116 111 110]
  [116 113 113]
  [ 74  76  80]
  ...
  [ 39  36  38]
  [ 36  34  34]
  [ 38  33  34]]]",[0. 1. 0.]
"[[[ 37  39  49]
  [ 37  40  52]
  [ 42  46  60]
  ...
  [ 59  66  85]
  [ 60  66  85]
  [ 60  66  85]]

 [[ 31  32  43]
  [ 37  39  50]
  [ 45  48  60]
  ...
  [ 59  65  84]
  [ 59  65  84]
  [ 59  65  84]]

 [[ 31  33  41]
  [ 38  40  50]
  [ 47  49  60]
  ...
  [ 57  64  83]
  [ 57  64  83]
  [ 57  64  83]]

 ...

 [[160 168 190]
  [168 175 195]
  [160 165 184]
  ...
  [112 101  93]
  [133 122 114]
  [147 136 128]]

 [[153 160 181]
  [151 157 177]
  [138 143 160]
  ...
  [116 105  97]
  [134 123 115]
  [143 132 124]]

 [[133 140 160]
  [120 127 146]
  [103 108 126]
  ...
  [117 106  98]
  [133 122 113]
  [138 127 119]]]",[1. 0. 0.]
"[[[ 30  27  23]
  [ 31  27  25]
  [ 31  28  27]
  ...
  [ 89 103 122]
  [ 69  82  99]
  [ 51  61  78]]

 [[ 29  25  24]
  [ 30  26  25]
  [ 30  28  28]
  ...
  [103 118 138]
  [ 84  97 115]
  [ 64  76  93]]

 [[ 29  25  24]
  [ 29  26  26]
  [ 30  29  29]
  ...
  [115 131 151]
  [ 98 112 131]
  [ 81  93 110]]

 ...

 [[111 109 109]
  [ 97  95  95]
  [ 79  77  77]
  ...
  [141 157 193]
  [145 161 197]
  [150 164 200]]

 [[121 118 118]
  [105 101 102]
  [ 83  80  80]
  ...
  [142 159 196]
  [146 163 199]
  [152 166 202]]

 [[123 117 118]
  [105  99 100]
  [ 82  77  77]
  ...
  [142 159 196]
  [145 162 198]
  [151 165 201]]]",[1. 0. 0.]
"[[[ 85  86 107]
  [ 88  89 110]
  [105 106 125]
  ...
  [ 91 107 122]
  [ 78  90 101]
  [ 76  84  91]]

 [[ 80  81 102]
  [ 76  77  98]
  [ 81  82 102]
  ...
  [ 97 111 127]
  [ 84  93 103]
  [ 79  87  94]]

 [[ 81  82 103]
  [ 70  71  92]
  [ 71  72  92]
  ...
  [ 95 110 125]
  [ 84  94 103]
  [ 79  87  94]]

 ...

 [[ 90  85  82]
  [ 84  77  74]
  [ 76  69  66]
  ...
  [100  93  86]
  [109 102  94]
  [121 113 106]]

 [[ 87  82  79]
  [ 78  73  70]
  [ 79  72  69]
  ...
  [ 98  92  85]
  [108 103  95]
  [122 116 109]]

 [[ 87  82  79]
  [ 81  76  73]
  [ 80  73  70]
  ...
  [ 97  90  83]
  [104  99  91]
  [116 110 103]]]",[0. 1. 0.]
"[[[ 30  28  27]
  [ 30  28  27]
  [ 30  28  27]
  ...
  [110 124 142]
  [102 114 131]
  [ 97 107 124]]

 [[ 29  27  26]
  [ 30  28  26]
  [ 30  28  26]
  ...
  [110 124 141]
  [102 115 131]
  [ 97 108 123]]

 [[ 29  27  25]
  [ 29  27  25]
  [ 30  29  25]
  ...
  [110 124 140]
  [103 115 129]
  [ 98 108 122]]

 ...

 [[ 82  79  78]
  [ 78  75  74]
  [ 72  69  69]
  ...
  [ 35  30  31]
  [ 33  29  30]
  [ 33  28  30]]

 [[ 91  85  83]
  [ 88  82  81]
  [ 83  77  76]
  ...
  [ 36  32  33]
  [ 35  30  33]
  [ 34  29  33]]

 [[ 95  88  85]
  [ 93  85  84]
  [ 90  82  82]
  ...
  [ 37  34  36]
  [ 36  32  36]
  [ 35  31  36]]]",[0. 1. 0.]
"[[[30 33 41]
  [43 46 57]
  [53 59 71]
  ...
  [32 37 43]
  [28 31 32]
  [27 28 26]]

 [[35 38 46]
  [46 49 60]
  [56 61 73]
  ...
  [36 41 47]
  [29 32 32]
  [26 28 24]]

 [[42 44 52]
  [51 54 64]
  [60 65 76]
  ...
  [40 45 53]
  [32 34 37]
  [29 28 27]]

 ...

 [[29 29 29]
  [28 28 28]
  [25 25 25]
  ...
  [83 84 80]
  [71 70 69]
  [66 61 62]]

 [[30 30 30]
  [26 26 26]
  [22 22 22]
  ...
  [80 80 74]
  [67 65 61]
  [66 61 62]]

 [[30 30 30]
  [24 24 24]
  [19 19 19]
  ...
  [81 80 72]
  [64 62 57]
  [67 63 62]]]",[0. 1. 0.]
"[[[ 74  85 112]
  [ 77  85 109]
  [ 67  73  92]
  ...
  [ 86 109 134]
  [ 93 109 130]
  [ 76  87 106]]

 [[ 70  82 109]
  [ 76  84 108]
  [ 70  76  95]
  ...
  [ 87 108 130]
  [ 92 108 128]
  [ 79  90 108]]

 [[ 71  83 109]
  [ 76  84 108]
  [ 72  78  98]
  ...
  [ 86 104 128]
  [ 92 105 126]
  [ 82  92 110]]

 ...

 [[ 37  36  38]
  [ 53  52  54]
  [ 66  65  67]
  ...
  [ 44  39  40]
  [ 44  39  40]
  [ 46  41  42]]

 [[ 37  36  38]
  [ 52  51  53]
  [ 65  64  66]
  ...
  [ 44  39  40]
  [ 43  38  39]
  [ 46  41  42]]

 [[ 37  36  38]
  [ 51  50  52]
  [ 64  63  65]
  ...
  [ 44  39  40]
  [ 43  38  39]
  [ 46  41  42]]]",[0. 1. 0.]
"[[[ 16  18  19]
  [ 23  26  31]
  [ 32  38  49]
  ...
  [ 74  88 115]
  [ 60  67  87]
  [ 44  44  57]]

 [[ 20  22  23]
  [ 26  29  34]
  [ 33  42  52]
  ...
  [ 74  89 116]
  [ 60  68  89]
  [ 43  45  59]]

 [[ 25  27  28]
  [ 34  38  42]
  [ 41  50  58]
  ...
  [ 76  92 119]
  [ 60  70  91]
  [ 41  45  60]]

 ...

 [[ 42  42  42]
  [ 60  60  60]
  [ 61  58  59]
  ...
  [ 29  27  26]
  [ 35  33  33]
  [ 40  35  36]]

 [[ 38  35  35]
  [ 54  53  53]
  [ 61  58  60]
  ...
  [ 31  29  28]
  [ 36  34  34]
  [ 43  38  40]]

 [[ 40  36  37]
  [ 57  54  55]
  [ 65  62  64]
  ...
  [ 29  27  26]
  [ 33  31  31]
  [ 43  38  39]]]",[1. 0. 0.]
"[[[ 34  32  32]
  [ 34  32  32]
  [ 34  32  32]
  ...
  [ 75  93 113]
  [ 52  62  76]
  [ 44  49  55]]

 [[ 31  29  29]
  [ 32  30  30]
  [ 33  31  31]
  ...
  [ 79  97 118]
  [ 57  66  82]
  [ 47  51  59]]

 [[ 30  30  30]
  [ 29  29  29]
  [ 30  30  30]
  ...
  [ 85 101 128]
  [ 63  70  87]
  [ 51  51  61]]

 ...

 [[ 43  41  41]
  [ 46  41  42]
  [ 48  42  43]
  ...
  [118 145 166]
  [136 168 192]
  [149 181 209]]

 [[ 42  40  40]
  [ 44  39  40]
  [ 44  39  41]
  ...
  [ 94 113 129]
  [121 145 165]
  [137 164 190]]

 [[ 37  35  35]
  [ 45  40  41]
  [ 40  35  36]
  ...
  [ 74  87  98]
  [101 118 133]
  [124 147 168]]]",[0. 1. 0.]
